,4KiB,THP,ET,ET-offline
Streamcluster,3003727303515,2916627847408,2962299739460,2959718529486
Astar,328746416276,308318858106,313269282618,308766274292
Omnetpp,642372594827,572051861895,598457943650,572597511584
BFS,459580565291,418538588064,418926388315,418876794714
Canneal,4327915510656,3580396371856,3471323175299,3486425080055
XSBench,997479467924,766927611060,738504037000,769055210902
BTree,2604934104709,1766599483478,1661227040329,1743486718303
SVM,3186072205530,2274787766479,2018636437965,2026598039227
Hashjoin,1174378821257,766829414798,673585464759,674109982006
Gups,2320596274657,1110937328901,1000410430255,1002724630580
